                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0705,                 3.4695,                  2.095,                0.00242,                0.09916,                0.00141,                0.00063,                 1.9317,                 16.671,                 1.5196,             0.00064865,             0.00064865,             0.00064865
                      2,                 2.6325,                  2.653,                 1.6874,                0.23845,                0.13502,                0.07348,                0.02438,                 1.6581,                 2.8279,                 1.0635,              0.0013023,              0.0013023,              0.0013023
                      3,                 2.4987,                  2.442,                 1.6333,                 0.2582,                0.12851,                0.08405,                0.02827,                 1.7289,                 2.5341,                  1.199,              0.0019427,              0.0019427,              0.0019427
                      4,                 2.4651,                 2.3471,                 1.6016,                  0.272,                0.19409,                0.14273,                0.05205,                 1.6284,                 1.9808,                 1.0831,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.4207,                 2.2522,                 1.5631,                0.31433,                0.19409,                0.14663,                0.04645,                 1.6032,                 1.8545,                 1.0954,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.4064,                 2.1781,                   1.55,                0.18276,                0.25738,                0.10714,                0.03757,                 1.5553,                 1.7745,                  1.014,               0.001901,               0.001901,               0.001901
                      7,                 2.3647,                 2.1346,                  1.506,                0.29731,                0.27215,                0.21342,                0.07448,                 1.5773,                 1.3141,                 1.0206,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.3182,                 2.0659,                 1.5165,                0.40505,                0.32278,                0.27409,                0.10092,                 1.5125,                 1.2646,                0.99817,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.3321,                 2.0403,                 1.5258,                0.36872,                0.35443,                 0.2755,                0.10294,                 1.4947,                 1.3041,                0.96475,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.3041,                 2.0382,                 1.4894,                0.41271,                0.31013,                 0.3059,                0.11175,                 1.4773,                 1.3653,                0.95794,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.3186,                 2.0249,                 1.5116,                0.36717,                0.30591,                0.27771,                0.09922,                 1.5109,                 1.3065,                0.94205,               0.001802,               0.001802,               0.001802
                     12,                 2.2936,                 1.9736,                 1.4807,                0.42923,                0.33966,                0.30265,                0.11392,                 1.4723,                 1.2876,                0.93254,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.2676,                 1.9375,                 1.4637,                0.45379,                0.33966,                0.29993,                0.10875,                 1.5384,                 1.8582,                0.99424,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.2732,                 1.9519,                 1.4621,                0.45088,                0.31646,                0.32314,                0.12089,                 1.4646,                  1.168,                0.92373,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.2198,                 1.9128,                 1.4349,                0.50116,                0.31435,                0.34995,                0.13538,                 1.4435,                 1.1609,                0.91892,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.2614,                 1.9244,                 1.4495,                0.47694,                0.31435,                  0.335,                0.12365,                 1.4882,                  1.696,                0.93351,               0.001703,               0.001703,               0.001703
                     17,                 2.2281,                  1.912,                 1.4451,                0.43233,                0.27848,                0.28834,                0.10384,                 1.5285,                 1.2185,                0.97254,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.2436,                 1.9242,                  1.449,                0.46452,                0.35865,                0.33461,                0.13523,                 1.4708,                 1.1884,                0.94124,              0.0016634,              0.0016634,              0.0016634
                     19,                 2.1817,                 1.8451,                 1.4241,                0.47658,                0.33966,                0.33479,                 0.1268,                 1.4844,                 1.1576,                0.93133,              0.0016436,              0.0016436,              0.0016436
                     20,                 2.1873,                 1.8382,                 1.4297,                0.42481,                0.37396,                0.32329,                0.12542,                 1.4643,                 1.2514,                0.94715,              0.0016238,              0.0016238,              0.0016238
                     21,                 2.1983,                 1.8512,                 1.4472,                0.49365,                0.40928,                0.37634,                0.14573,                 1.4079,                 1.1627,                0.92753,               0.001604,               0.001604,               0.001604
